Year,Month,Number of Delays,Temperature,Pressure,Precipitation,Relative Humidity (RH),Wind Speed 2m,Wind Speed 10m,Wind Direction 2m,Wind Direction 10m,Vector Wind Shear
2018,9,1228,26.13,98.61,2.11,70.52,1.01,2.09,110.2,108.9,0.13506287
2018,10,457,18.36,98.7,4.11,73.55,1.3,2.72,41.2,42.3,0.177557354
2018,11,1783,8.97,98.72,6.07,84.67,1.37,2.86,348.6,348.5,0.186250501
2018,12,1188,7.26,98.73,8.12,88.72,1.33,2.87,312.4,304.6,0.195345561
2019,1,773,6.08,98.85,4.88,84.89,1.54,3.18,291.5,291.6,0.205000569
2019,2,1743,11.43,98.86,3.93,86.43,1.48,3.02,187.4,189.7,0.192792046
2019,3,832,10.82,98.89,2.05,79.02,1.45,3.09,296.9,296.2,0.205025485
2019,4,1802,16.78,98.48,5.02,79.33,1.41,2.97,206.3,205.5,0.195032706
2019,5,1370,22.95,98.46,1.81,75.54,1.08,2.31,239.5,239.5,0.15375
2019,6,2515,24.55,98.4,5.13,76.71,1.15,2.38,229.2,228.5,0.153770757
2019,7,2665,27.62,98.55,2.44,65.13,0.96,1.95,258.2,257,0.123801828
2019,8,1339,27.69,98.39,2.51,64.53,0.93,1.89,51.9,54.9,0.120313246
2019,9,635,27.62,98.62,0.64,52.41,1.06,2.15,51.4,53.1,0.136364983
2019,10,1412,20.04,98.51,4.39,68.25,1.34,2.69,84.9,82.5,0.16904251
2019,11,452,9.26,98.77,2.68,78.73,1.2,2.63,316.6,320.5,0.17938771
2019,12,665,8.36,98.75,5.11,83.54,1.54,3.3,26.5,30.2,0.22075105
2020,1,1184,8.28,99,6.18,85.49,1.49,3.12,294.4,288.2,0.205824637
2020,2,1782,8.55,98.78,9.77,87.43,1.54,3.14,253.2,252.9,0.200005178
2020,3,331,14.94,98.88,5,87.67,1.35,2.88,233.2,230.6,0.191576716
2020,4,16,15.16,98.32,5.22,77.35,1.55,3.22,285.3,284.1,0.208831916
2020,5,74,18.99,98.59,2.06,80,1.22,2.6,247.4,241.3,0.174119216
2020,6,191,23.8,98.6,3.26,78.18,1.13,2.33,236.9,232.4,0.150843084
2020,7,700,27.74,98.46,2.44,68.22,0.91,1.85,233.5,233.5,0.1175
2020,8,799,26.77,98.39,5.21,72.3,0.87,1.75,187.4,185.5,0.110118834
2020,9,118,22.09,98.58,5.26,77.03,1.31,2.7,69.3,68.2,0.173808608
2020,10,375,17.88,98.67,4.09,81.88,1.22,2.64,90.9,85.8,0.178618915
2020,11,184,12.78,99.05,2.73,79.56,1.35,2.94,29.4,31.4,0.198939988
2020,12,97,5.98,98.82,2.36,82.79,1.36,2.93,289.8,288.7,0.196308459
2021,1,128,6.15,98.66,3.16,83.68,1.4,2.96,287.7,286.5,0.195072811
2021,2,481,7.45,98.67,2.9,83.06,1.58,3.23,323.8,321.9,0.206462449
2021,3,416,13.31,98.91,4.07,81.43,1.45,3.05,130.5,130.2,0.200004736
2021,4,469,15.36,98.5,1.72,73.86,1.33,2.86,277.4,276.2,0.191318144
2021,5,959,19.93,98.83,3.27,72.69,1.25,2.65,218.1,210.6,0.177512226
2021,6,1026,24.75,98.57,4.27,72.36,1.14,2.37,172.1,173.3,0.153810207
2021,7,1668,26.12,98.62,4.31,73.9,0.87,1.8,234,232.4,0.116332036
2021,8,1247,26.36,98.59,5.44,73.84,0.94,1.94,127.3,132.7,0.126007589
2021,9,341,22.41,98.55,2.59,73.88,0.97,2,33.5,38.7,0.129715345
2021,10,530,17.97,98.46,3.34,79.12,1.15,2.44,211.1,203.5,0.163621056
2021,11,136,9.45,98.99,0.86,69.26,1.19,2.68,318.5,319,0.186260187
2021,12,899,11.47,98.73,3.7,84.6,1.21,2.7,220.2,218.9,0.186320532
2022,1,789,4.55,98.78,2.88,80,1.59,3.32,299,298.4,0.216270912
2022,2,406,8.79,99.06,4.3,80.29,1.56,3.22,272.8,265,0.210970632
2022,3,1027,12.49,98.63,4.47,77.34,1.61,3.38,235.8,237.4,0.221399785
2022,4,790,15.35,98.63,3.57,76.43,1.39,2.99,226.5,223.3,0.200505637
2022,5,757,22.19,98.46,1.83,70.45,1.23,2.57,192.4,191.5,0.167536375
2022,6,1416,27.09,98.45,2.62,61.04,1.05,2.15,1.5,8.8,0.139563863
2022,7,1692,27.98,98.57,3.98,68.61,0.92,1.86,230.5,226,0.118199389
2022,8,1370,25.93,98.58,4.09,74.25,0.86,1.76,206.9,204.6,0.112669229
2022,9,580,22.5,98.49,1.84,67.95,1.24,2.59,36.5,36.1,0.168757247
2022,10,278,15.9,98.66,1.46,60.57,1.27,2.69,336.3,339.4,0.177939524
2022,11,540,11.95,98.89,4.22,72.05,1.39,3,31.2,31.8,0.201267751
2022,12,963,6.84,98.99,3.18,83.96,1.3,2.82,232.8,238.3,0.191382922
2023,1,1402,8.79,98.72,6.31,84.92,1.43,3.04,255.9,255.1,0.201282897
2023,2,349,11.87,98.78,3.11,85.38,1.51,3.17,253.6,247.3,0.20966544
2023,3,1665,12.57,98.61,4.89,78.77,1.38,2.92,258.5,253.6,0.193691684
2023,4,1154,16.02,98.51,4.55,78.42,1.39,2.91,227.4,225.9,0.190113953
2023,5,521,19.43,98.48,1.94,80.52,1.27,2.66,54.2,50.1,0.174525746
2023,6,2133,23.61,98.05,3.57,74.38,1.13,2.35,302.9,302.9,0.1525
2023,7,1932,27.68,98.44,2.72,67.08,0.96,1.96,297.5,295,0.125223658
2023,8,2567,27.7,98.32,4.43,68.08,1.03,2.1,304.7,305.3,0.133763854
2023,9,718,23.65,98.53,1.43,65.1,0.94,1.97,61,66.3,0.129707243
2023,10,289,17.31,98.53,1.84,66.55,1.31,2.8,333.1,341.8,0.18975761
2023,11,305,11.43,98.86,1.62,69.1,1.26,2.76,25.8,21.7,0.1882402
2023,12,562,7.92,98.91,2.86,76.55,1.34,2.94,299.6,303.7,0.200786134
